PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2078209.50;0.875;17; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;ASISTENTE DE LABORATORIO DE CONTROL DE CALIDAD Y DESARROLLO TECNOLÓGICO                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;257194.00;0.250;8; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1308964.00;1.000;19; ;TÉCNICO EN APOYO ADMINISTRATIVO A LA PRUEBA DE APTITUD ACADÉMICA                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;369671.60;0.250;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;180702.65;0.125;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1989794.00;1.000;22; ;PROFESIONAL EN DISEÑO GRÁFICO                                                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;744416.25;0.750;8; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR EXBECARIO MAESTRIA            ;1929400.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;163055.20;0.125;22; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;2044664.00;1.000;22; ;
PROFESIONAL A;2336081.00;1.000;22; ;PROFESIONAL EN GESTIÓN DE RECTORÍA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;1249448.00;0.500;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;454795.00;0.250;21; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1554243.00;1.000;22; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2410933.00;1.000;19; ;
PROFESOR INTERINO LICENCIADO           ;993347.40;0.625;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2309127.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2121077.00;1.000;19; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR ADJUNTO                       ;2154544.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1726863.00;1.000;22; ;JEFATURA ADMINISTRATIVA A DE CENTRO                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;427717.00;0.500;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;1746347.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1238414.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;359896.00;0.250;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;1160932.00;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1062817.50;0.750;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1664915.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1791995.00;1.000;16; ;PROFESIONAL EN ANÁLISIS DE CALIDAD DE AGUA                                                                                                                                                                                                                      
PROFESIONAL A;975619.40;0.667;17; ;JEFATURA ADMINISTRATIVA DE ESTACIÓN EXPERIMENTAL                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;200751.65;0.125;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;353608.50;0.250;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;985783.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1277454.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;266873.00;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2007080.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;1370563.00;1.000;22; ;ELECTRICISTA                                                                                                                                                                                                                                                    
PROFESOR ASOCIADO                      ;2281413.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;867088.15;0.875;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;246927.75;0.250;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2649136.95;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;2988298.25;1.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;583498.05;0.375;13; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1710726.00;1.000;15; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESOR EXBECARIO DOCTORADO           ;1912821.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1404492.00;1.000;20; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESIONAL C;2410817.00;1.000;15; ;PROFESIONAL COORDINADOR DE CASE                                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;1338411.25;0.875;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1251773.00;1.000;4; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;429155.50;0.500;3; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR INSTRUCTOR                    ;1563833.90;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;314878.45;0.375;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2963296.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2729353.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;167935.20;0.375;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2252226.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1568242.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2791464.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2228238.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;435596.50;0.500;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;83442.25;0.063;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2333366.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1855789.00;1.000;12; ;PENDIENTE                                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;1230791.00;1.000;19; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;340026.00;0.250;12; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1217550.00;1.000;15; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR INTERINO;596372.50;0.700;5; ;PROFESIONAL EN RELACIONES PÚBLICAS                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1452259.00;1.000;22; ;TÉCNICO EN APOYO A SERVICIOS ADMINISTRATIVOS Y ESTUDIANTILES                                                                                                                                                                                                    
PROFESOR ASOCIADO                      ;2980915.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;2340806.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2990487.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2024941.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO INVESTIGACION;3752501.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;9; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2383270.00;1.000;19; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;1408599.80;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1976856.00;1.000;20; ;PROFESIONAL EN SANEAMIENTO AMBIENTAL                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;511387.50;0.500;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;1831404.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;339971.00;0.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1506203.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2180512.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3706951.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;814646.15;0.625;9; ;PROFESIONAL EN GESTIÓN AMBIENTAL                                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;3309762.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1962969.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1089173.50;1.000;6; ;PROFESIONAL EN PSICOLOGÍA DE SEDE                                                                                                                                                                                                                               
PROFESOR ASOCIADO                      ;2239145.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;111956.80;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1770442.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1982506.00;1.000;21; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;394801.25;0.438;15; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO B;1410388.00;1.000;22; ;
PROFESOR INTERINO LICENCIADO           ;1368469.80;1.000;14; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1462239.50;1.000;22; ;TÉCNICO EN APOYO ADMINISTRATIVO A EDICIÓN DE REVISTA                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;774884.00;0.500;16; ;TÉCNICO EN APOYO A LA INVESTIGACIÓN EN BIOTECNOLOGÍA DE PLANTAS                                                                                                                                                                                                 
TECNICO ASISTENCIAL B;1294621.00;1.000;22; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;306297.00;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;53464.55;0.063;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;552718.00;0.250;21; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO B;1452259.00;1.000;22; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESIONAL A;1010144.00;1.000;5; ;PROFESIONAL EN GESTIÓN FINANCIERA DE SEDE                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO C;1740146.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR ASOCIADO EDUCACION SUPERIOR   ;425652.50;0.250;10; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1002504.00;1.000;16; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO C;1599819.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESIONAL B;2981005.00;1.000;21; ;PROFESIONAL EN PROMOCIÓN DE LA SALUD                                                                                                                                                                                                                            
PROFESIONAL C;3087654.00;1.000;21; ;PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;1740181.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1334023.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3445963.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;938408.65;0.625;16; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1315603.15;1.000;22; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO A;1370563.00;1.000;22; ;TÉCNICO  EN RÉGIMEN ACADÉMICO                                                                                                                                                                                                                                   
TRABAJADOR OPERATIVO C;1014062.00;1.000;15; ;MENSAJERO-CHOFER                                                                                                                                                                                                                                                
TRABAJADOR OPERATIVO C;1599819.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1452259.00;1.000;22; ;TÉCNICO EN APOYO A SERVICIOS DE TRANSPORTE                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;358130.00;0.250;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;42351.30;0.031;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;356192.60;0.375;11; ;INTÉRPRETE DE LENGUA DE SEÑAS COSTARRICENSE                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO D;1648876.00;1.000;20; ;TÉCNICO EN EQUIPO DE LABORATORIO QUÍMICO                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;441472.00;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;282232.85;0.156;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2282571.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3253667.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;463552.50;0.250;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2681819.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1415737.00;1.000;21; ;ASISTENTE EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                          
TECNICO ASISTENCIAL A;1299776.00;1.000;22; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO A;1235301.00;1.000;16; ;TÉCNICO EN MANEJO DE COLECCIONES DE INSECTOS                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO C;1649346.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR ADJUNTO                       ;587729.75;0.250;20; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO REGIONAL;2907802.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1358451.00;1.000;22; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;1390474.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2263710.00;1.000;22; ;PROFESIONAL EN EJECUCIÓN PRESUPUESTARIA                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;1991653.50;0.750;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;289682.50;0.250;6; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1380609.00;1.000;19; ;TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;1704923.00;1.000;22; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
PROFESIONAL A;734604.00;0.500;15; ;PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               
TRABAJADOR OPERATIVO B;1151408.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO D;1679235.00;1.000;22; ;TÉCNICO EN MANTENIMIENTO DE EQUIPO TELEVISIVO                                                                                                                                                                                                                   
TRABAJADOR OPERATIVO C;1723637.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1117570.75;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2250007.00;1.000;22; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;241161.05;0.125;21; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1452259.00;1.000;22; ;TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 
JEFE A;3328541.00;1.000;22; ;JEFE DE ADMINISTRACIÓN DE SALARIOS                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1642765.00;1.000;22; ;TÉCNICO EN ORIENTACIÓN SOBRE TRÁMITES DE PENSIÓN                                                                                                                                                                                                                
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO D;1704923.00;1.000;22; ;TÉCNICO ENCARGADO DE PROGRAMA DE POSGRADO                                                                                                                                                                                                                       
JEFE B;3107241.00;1.000;21; ;JEFE ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO C;1533558.35;1.000;21; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;26239.85;0.031;15; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1294621.00;1.000;22; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO C;1528689.00;1.000;22; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
TRABAJADOR OPERATIVO C;1599819.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;248830.65;0.125;17; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1599819.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO C;1616296.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;111956.80;0.250;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;1393106.00;1.000;22; ;ELECTRICISTA                                                                                                                                                                                                                                                    
DIRECTOR CENTRO INVESTIGACION;2970178.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1463131.00;1.000;16; ;PROFESIONAL EN DIVULGACIÓN DE INFORMACIÓN                                                                                                                                                                                                                       
VICERRECTOR;3779330.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2500131.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1656457.00;1.000;22; ;TÉCNICO EN CATALOGACIÓN Y ADQUISICIÓN DE RECURSOS BIBLIOGRÁFICOS DE SEDE                                                                                                                                                                                        
PROFESIONAL A;1909047.00;1.000;18; ;PROFESIONAL EN GESTIÓN DE DOCTORADO                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;387306.50;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1338400.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1995006.65;1.000;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1502767.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2869394.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1452259.00;1.000;22; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR ASOCIADO                      ;2191383.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1776630.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1004356.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1872415.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2109592.00;1.000;15; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;1809700.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;961594.30;0.825;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1469870.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
JEFE A;3619416.00;1.000;22; ;JEFE DE DISEÑO Y PLANIFICACIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;1691367.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2160763.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;167935.20;0.375;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;814395.75;0.750;1; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO INVESTIGACION;2766412.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;215199.30;0.125;19; ;PUESTO NO ADMINISTRATIVO
DIRECTOR;3831375.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2292722.00;1.000;11; ;PROFESIONAL COORDINADOR DE CARGAS ACADÉMICAS                                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;1651236.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2489964.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1799603.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2216876.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1082514.00;1.000;16; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL C;2817084.00;1.000;21; ;PROFESIONAL COORDINADOR C DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;814742.50;0.500;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ;2400328.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;159858.50;0.156;9; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2916225.00;1.000;18; ;PROFESIONAL DESARROLLADOR DE SISTEMAS DE INFORMACIÓN DE LA LÍNEA GRÁFICA INSTITUCIONAL                                                                                                                                                                          
PROFESOR ADJUNTO                       ;2133386.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;708483.00;0.500;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2181212.00;1.000;12; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1247431.00;0.500;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1895344.00;1.000;17; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESOR CATEDRATICO                   ;2914310.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO INVESTIGACION;2507836.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2194611.00;1.000;15; ;PROFESIONAL COORDINADOR DE ATENCIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;855434.00;1.000;2; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1791995.00;1.000;16; ;PROFESIONAL EN ANÁLISIS DE CALIDAD DE AGUA                                                                                                                                                                                                                      
PROFESOR EXBECARIO DOCTORADO           ;2690636.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1294621.00;1.000;22; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INSTRUCTOR                    ;610168.80;0.375;16; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1299564.00;1.000;22; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;3004115.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;179294.45;0.125;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;3; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1294621.00;1.000;22; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
